Position Statement for 493991357 (lel4866c) on 2/12/22 09:38:04

None
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Mark %Change,P/L %,Net Liq,P/L Open,P/L Day,Margin Req
SPX,,,,,,0.00%,+0.98%,"$4,520.00",$44.00,$0.00,"$4,568.54"
S&P 500 INDEX,0,,.00,4418.64,0,0.00%,0.00%,$0.00,$0.00,$0.00,
100 (Weeklys) 29 APR 22 2400 PUT,+2,76,2.35,4.70,0,0.00%,+100.00%,$940.00,$470.00,$0.00,
100 (Quarterlys) 30 JUN 22 3100 PUT,+6,138,19.80,31.75,0,0.00%,+60.35%,"$19,050.00","$7,170.00",$0.00,
100 (Quarterlys) 30 JUN 22 3775 PUT,-6,138,57.40,89.90,0,0.00%,-56.62%,"($53,940.00)","($19,500.00)",$0.00,
100 (Quarterlys) 30 JUN 22 4075 PUT,-2,138,146.165,145.00,0,0.00%,+0.80%,"($29,000.00)",$233.00,$0.00,
100 (Quarterlys) 30 JUN 22 4125 PUT,+2,138,129.285,156.80,0,0.00%,+21.28%,"$31,360.00","$5,503.00",$0.00,
100 (Quarterlys) 30 JUN 22 4200 PUT,+2,138,117.70,175.85,0,0.00%,+49.41%,"$35,170.00","$11,630.00",$0.00,
100 15 JUL 22 3075 PUT,+2,152,22.43,34.20,0,0.00%,+52.47%,"$6,840.00","$2,354.00",$0.00,
100 15 JUL 22 3775 PUT,-4,152,64.6825,98.15,0,0.00%,-51.74%,"($39,260.00)","($13,387.00)",$0.00,
100 15 JUL 22 3950 PUT,-2,152,132.96,128.65,0,0.00%,+3.24%,"($25,730.00)",$862.00,$0.00,
100 15 JUL 22 3975 PUT,+2,152,138.16,133.85,0,0.00%,-3.12%,"$26,770.00",($862.00),$0.00,
100 15 JUL 22 4100 PUT,+2,152,133.745,161.60,0,0.00%,+20.83%,"$32,320.00","$5,571.00",$0.00,

EQUITY,"$182,344.79"
OVERALL P/L YTD,"($4,432.94)"
BP ADJUSTMENT,$0.00
OVERNIGHT FUTURES BP,"$177,776.25"
AVAILABLE DOLLARS,"$177,776.25"
